function,cycles,pct,wall_ns,calls,cyc_per_call
label70,8052,0.0067,1342000.0,172,46.8
toggle_ign_1,6576,0.0055,1096000.0,548,12.0
label69,5976,0.0050,996000.0,168,35.6
isv_step_close,5832,0.0048,972000.0,88,66.3
label603,4476,0.0037,746000.0,356,12.6
label642,4428,0.0037,738000.0,71,62.4
label606,4332,0.0036,722000.0,338,12.8
label76,3996,0.0033,666000.0,165,24.2
label647,3768,0.0031,628000.0,10,376.8
zero_ram_loop,3624,0.0030,604000.0,1,3624.0
label131,3264,0.0027,544000.0,268,12.2
label211,2460,0.0020,410000.0,18,136.7
label237,2448,0.0020,408000.0,81,30.2
isv_closed_loop,2160,0.0018,360000.0,17,127.1
label213,2052,0.0017,342000.0,52,39.5
label78,2016,0.0017,336000.0,165,12.2
label212,1848,0.0015,308000.0,35,52.8
isv_crank,1632,0.0014,272000.0,34,48.0
label601,1632,0.0014,272000.0,17,96.0
label255,1584,0.0013,264000.0,45,35.2
label241,1464,0.0012,244000.0,42,34.9
isv_pi_corr,1428,0.0012,238000.0,17,84.0
label596,1428,0.0012,238000.0,51,28.0
label648,1404,0.0012,234000.0,41,34.2
label37,996,0.0008,166000.0,18,55.3
label39,972,0.0008,162000.0,16,60.8
label40,972,0.0008,162000.0,32,30.4
label217,816,0.0007,136000.0,17,48.0
label643,768,0.0006,128000.0,24,32.0
label645,720,0.0006,120000.0,19,37.9
label73,672,0.0006,112000.0,56,12.0
label646,576,0.0005,96000.0,8,72.0
label605,528,0.0004,88000.0,19,27.8
label55,516,0.0004,86000.0,11,46.9
label641,468,0.0004,78000.0,19,24.6
label649,456,0.0004,76000.0,19,24.0
label36,444,0.0004,74000.0,17,26.1
label208,408,0.0003,68000.0,17,24.0
label209,408,0.0003,68000.0,17,24.0
label216,408,0.0003,68000.0,17,24.0
label215,408,0.0003,68000.0,17,24.0
label218,408,0.0003,68000.0,17,24.0
label600,408,0.0003,68000.0,17,24.0
label210,204,0.0002,34000.0,17,12.0
label686,192,0.0002,32000.0,5,38.4
label163,108,0.0001,18000.0,1,108.0
label164,108,0.0001,18000.0,1,108.0
label608,96,0.0001,16000.0,1,96.0
label280,84,0.0001,14000.0,1,84.0
running,72,0.0001,12000.0,2,36.0
send_diag_3,72,0.0001,12000.0,1,72.0
label609,60,0.0000,10000.0,1,60.0
label51,48,0.0000,8000.0,2,24.0
label591,48,0.0000,8000.0,2,24.0
clr_1c_2,48,0.0000,8000.0,2,24.0
label644,36,0.0000,6000.0,1,36.0
label687,36,0.0000,6000.0,1,36.0
reset,24,0.0000,4000.0,1,24.0
jmp_to_zero_ram,24,0.0000,4000.0,1,24.0
main_1_jmp,24,0.0000,4000.0,1,24.0
send_diag_4,24,0.0000,4000.0,1,24.0
label56,24,0.0000,4000.0,1,24.0
main_cont_jmp,24,0.0000,4000.0,1,24.0
label38,24,0.0000,4000.0,1,24.0
